id;Фракция;Имя;Описание;Тип действия;Количество в колоде
1;Зомби;Расхищение могил ;Забери на руку любую карту из своей стопки сброса.;;2
2;Зомби;Они всё прут и прут ;Сыграй добавочного приспешника из своей стопки сброса .;;2
3;Зомби;Они пришли за тобой;В свой ход можешь сыграть на эту базу приспешника не с руки, а из своей стопки сброса.;Сыграй на базу  Постоянное ;1
4;Зомби;Вспышка;Сыграй добавочного приспешника на базу, где нет твоих приспешников.;;1
5;Зомби;Зомби-маркет;Выбери из своей колоды сколько угодно одноименных  карт и положи их в свою стопку сброса. Перетасуй свою колоду.;;1
6;Зомби;Беспредел;Соперники не могут играть приспешников на эту базу. Уничтожь это  действие в начале своего хода.;Сыграй на базу  Постоянное ;1
7;Зомби;Дай руку;Замешай в свою колоду сколько угодно карт из своей стопки сброса.;;1
8;Зомби;Патроны на исходе;Забери на руку сколько угодно одноименных приспешников из своей стопки сброса.;;1
9;Пришельцы;Дезинтегратор;Положи приспешника силой 3 или меньше под низ колоды его владельца.;;2
10;Пришельцы;Подъемный луч;Верни любого приспешника на руку владельцу.;;2
11;Пришельцы;Вторжение ;Перемести любого приспешника на другую базу.;;1
12;Пришельцы;Помехи ;Все игроки игнорируют свойство этой базы;Сыграй на базу  Постоянное ;1
13;Пришельцы;Зондирование;Посмотри карты на руке у любого соперника и выбири оттуа приспешника. Соперник сбрасывает этого приспешника.;;1
14;Пришельцы;Терраформирование;Выбери из колоды любую базу. Поменяй её местами с любой базой в игре ( сбрось все действия со старой базы. Перетасуй колоду баз.Можешь сыграть добавочного приспешника на новую базу .;;1
15;Пришельцы;Круги на полях;Выбери базу. Верникаждого приспешника с этой базы на руку владельцу.;;1
16;Пришельцы;Похищение;Верни любого приспешника на руку владельцу. Сыграй добавочного приспешника.;;1
17;Проказники;Разрушение чар;Уничтожь действие сыгранное на приспешника или базу.;;2
18;Проказники;Всё в тумане ;В свой ход можешь сыграть сюда добавочного приспешника.;Сыграй на базу  Постоянное ;2
19;Проказники;Хватай сокровища;Каждый соперник вслепую сбрасывает две карты с руки.;;1
20;Проказники;Дело труба;Всякий раз, когда соперник играет сюда приспешника, он сбрасывает карту с руки.;Сыграй на базу  Постоянное ;1
21;Проказники;Сладких снов;Выбери игрока. В свой следующий ход  он не может играть действия.;;1
22;Проказники;Нет пути!;Сюда нельзя играть приспешников выбранной вракции.;Сыграй на базу и выбери фракцию  Постоянное ;1
23;Проказники;Укрытие ;Если действия соперников пытаются повлиять на твоих приспешников здесь, уничтожь эту карту, чтобы оно на них не повлияло. ;Сыграй на базу  Постоянное ;1
24;Проказники;Огненная ловушка ;Когда соперник играет сюда приспешника, уничтожь его ( после выполнения его свойства) и эту карту. ;Сыграй на базу  Постоянное ;1
25;Волшебники;Призыв ;Сыграй добавочного приспешника.;;2
26;Волшебники;Тайные знания;Возьми две карты.;;2
27;Волшебники;Петля времени;Сыграй два добавочных действия.;;1
28;Волшебники;Жертва;Выбери своего приспешника.Возьми столько карт, какова его сила. Уничтожь этого приспешника.;;1
29;Волшебники;Ветер перемен ;Замешай все карты с руки в свою колоду и возьми пять карт. Можешь сыграть добавочное действие. ;;1
30;Волшебники;Ясновидидение ;Выбери из своей колоды любое действие и покажи его всем игрокам. Забери его на руку и перетасуй свою колоду.;;1
31;Волшебники;Портал ;Раскрой пять верхних карт своей колоды. Забери на руку сколько угодно раскрытыз приспешников. Остальные карты верни на верх своей колоды в любом порядке. ;;1
32;Волшебники;Массовые чары ;Раскрой верхнюю карту в колоде каждого соперника. Сыграй одно ракрытое действие как добавочное действие. Остальные карты верни на верх колод их владельцев.;;1
33;Пираты;Шлюпка;Перемести до двух своих приспешников на другие базы.;;2
34;Пираты;Бортовой залп ;Выбери соперника и уничтожь всех его приспешников с силой 2 или меньше на базе, где есть хотя бы один твой приспешник. ;;2
35;Пираты;Пушка;Уничтожь до двух приспешников с силой 2 или меньше. ;;1
36;Пираты;Шанхайская вербовка;Перемести чужого приспешника на другую базу.;;1
37;Пираты;Головорезы ;Каждый твой приспешник получает +1 к силе до конца хода.;;1
38;Пираты;Морские волки ;Выбери фракцию. Перемести всех чужих приспешников этой фракции с одной базы на другую.;;1
39;Пираты;Пороховая бочка ;Уничтожь своего приспешника, а также всех приспешиков с такой же (или меньшей) силой  на одной базе с ним.;;1
40;Пираты;На всех парусах ;Перемести сколько угодно своих приспешников на другие базы. Можешь сыграть эту карту перед захватом базы.;спецсвойство ;1
41;Динозавры;Улучшение;Выбери приспешника он получает +4 к силе до конца твоего хода.;;2
42;Динозавры;Вой;Каждый приспешник получает +1 к силе до конца твоего хода.;;2
43;Динозавры;Модернизация;Этот приспешник получает +2 к силе.;Сыграй на приспешника  Постоянное ;1
44;Динозавры;Заповедник;Действия соперников не могут повлиять на твоих приспешников на этой базе.;Сыграй на базу  Постоянное ;1
45;Динозавры;Естественный отбор;Выбери своего приспешника на любой базе. Уничтожь на этой же базе приспешника с меньшей силой, чем у твоего.;;1
46;Динозавры;Зубы, когти, два ствола ;Если свойство пытается повлиять на этого приспешника, уничтожь эту карту, чтобы оно на него не повлияло. ;Сыграй на приспешника  Постоянное ;1
47;Динозавры;Буйство ;Выбери базу и своего приспешника на ней. До конца хода оборона этой базы сокращается на значение силы этого приспешника.;;1
48;Динозавры;Выживает сильнейший;Уничтожь самого слабого приспешника (если таких несколько, то одного из них на твой выбор) с каждой базы, где есть более сильный приспешник.;;1
49;Ниндзя;Звездопад;Уничтож преспешника с силой 3 или меньше.;;2
50;Ниндзя;Проникновение;Сыграй на базу. Уничтожь любое действие, сыгранное на нее. До начала своего следующего хода хода можешь игнорировать свойство этой базы.;Сыграй на базу  Постоянное ;2
51;Ниндзя;Путь обмана;Перемести своего приспешника на другую базу.;;1
52;Ниндзя;Под прикрытием;Перед захватом базы сыграй на неё приспешника.;спецсвойство ;1
53;Ниндзя;Убийство;В конце хода уничтожь этого приспешника.;Сыграй на приспешника  Постоянное ;1
54;Ниндзя;Дымовая завеса;Действия соперников не могут повлиять на этого приспешника. Уничтожь эту карту в начале своего хода.;Сыграй на приспешника  Постоянное ;1
55;Ниндзя;Маскировка ;Выбери одного или двух своих приспешников на одной базе. Сыграй на нее столько же добавочных приспешников и верни выбранных приспешников себе на руку.;;1
56;Ниндзя;Яд;Сыграй на приспешника. Уничтожь сколько угодно сыгранныхна него действий. У этого приспешника-4 к силе ( сила приспешника не может быть меньше 0).;Сыграй на приспешника  Постоянное ;1
57;Роботы;Техцентр;Выбери базу. Возьми карту за каждого твоего приспешника на этой базе.;;2